title,link,pub_date
Reliance begins construction of data centre at Silicon Valley - Millennium Post,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNRnNwQ0xuNk9rNFNfQlNNTWE5cGlXaU9KejF1Y1RWR3VoQUVHLVVVaEJnaGVVV2k2WTVpbVNQVnp6SkpRM3dzWmp6SV94Rmo0ZTNVQUUzb3ZlUE5WWjIxdDQwMHBqZDVQYk55OEJKWk5wenNoazRESlJkQ3o2NzlEU180WDBPVEI4LTlYUFhDSFdzMjNycHQwdS1ReVBFcGRtSzBlb0t3cUdsQdIBrwFBVV95cUxNdmpWeEtYeExkcmUtVlAwaG9Oeld3N1JmWW9LWHFnTXhPUzlaaVUzUDluRW9BU2hHSl9SRnRjQ052cjJsY3UxVl9QZ2hpRFNtX3dHUTQ3alZJVnRUTzhQR1RLa0FhdV9Nd3JLS3MzOWFnLS1iZFNRLV9PT1ZLLU50TDdPS3dVRUl4alBCNWFCREdTODRzSVlMb3hWTnhLSmZfUTZGRWZWSmFmTTkyUVRF?oc=5,"Sun, 19 Jan 2020 08:00:00 GMT"
Reliance Digital announces 'Digital India Sale' for Republic Day - ANI News,https://news.google.com/rss/articles/CBMitwFBVV95cUxPWDgwM2E2a1BHMXcxenhyRkIxTUxnR19zNFRDS0E0WmZYN2t1Y09WcGdnZEJZZGJhRmJ1WTRoLXNSVHFWaFlCRVhtWXNsS2JDMVRRd3lzeWEtTTFOdVZ6enk4cUdLdkZvMW5WSnQ5NENzbkZCS0gzMVEzYlNRUWo2ZDhDQWhZRHFvd21keTdIT0E3TnM0VGRIc2s1UUFkeVhvazVYcEt4Zy1MSjBuenlRLVdXUUJTS0U?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT"
Reliance Retail’s Fashion Business Leverages AI To Expand Footprint - Inc42 Media,https://news.google.com/rss/articles/CBMinwFBVV95cUxNQVR0WWFBcDhvRHhBVVowU3Qyc3BWUUJTWlU0YWpBQkpRNFAxSGU2dlBQRkhobWNRVWgwVlliMDVVRkV0OTVXc1BCNVk1bGF5STJFVmIyQTQ4TUhONHBIOGJ0ZlN1Nmx3cDgzbktsWlEwQjU0X25ZR2FTckRycHZiLUJ4aTFWRU11V3FnM0tLV2I4OWdoM25hT3FxTFhGdkXSAaQBQVVfeXFMTjc3c1NPcnFWem4zaWhUa3BUUE1pb1VsMHZ6djVGTnZEZW1HaFVBeHlfbktyTFJJRlhuZ3A5UWplUU9zTjRidkpIdHFaa25LMThwN01xaG0zXzZaY01NVldDbnBUNzVtczNzcEtjSnU3SGhoLXhBbHRfZzRLamIwcGc4RWtra0VXamVBb21nbjFOWHRGdU1naDdDS2FXakRmVHdoS0M?oc=5,"Thu, 09 Jan 2020 08:00:00 GMT"
"Reliance Jio EBIT jumps 60% in Q3, operating revenue rises 28.3% - Business Standard",https://news.google.com/rss/articles/CBMizgFBVV95cUxQVy1WNE9hRmM3czBVQ0U0Y1NCSDMycUFFOHRSS2JJbi1QdkxPb1dIaGptbURRemNoN3lmSlVJMTl6RFFCcFJmYWVSaE04djU1Sjc2OTdjZldIS0QzTTFvWjhFQnhwY01DS2lCalFaM2ZyekJoc0NUcHVyU05HQ29HQVJsdWI2a3cyYXdJSnFGZFFwNmIwNkhYelRzWWZpYUZqdGZEZk1TVzhLOGl2VWRacmx2T05nd05QQ2dUOGVKYmN4VnBtdy1ReGtCY2dKZ9IB0wFBVV95cUxQNFBUQnc1amdzeFppZ2ZPamtERmVSaDhUQmllUDRoQ0hXZEU5djN1cEpCV1I0c0VtaERVMGJYZGF2MFZIVVZCRzJVc3IyMnBlNkpCMGlNbXFmMkcyT2p1YUtOSGFtZUx6RURXaThZS1BmQzVpQUhzQkZJM1B0YUs1U0ZPQ0o5UG95WTJfa3hxYTR3R3NfMGFVODJ2SU85TUxkMFBhRUQyOVM0RGJnVXZVTWpudGVuU3ItdFNVRWlhUDUyNjBBbWZXUGZ6RE5OMzZTVEF3?oc=5,"Sat, 18 Jan 2020 08:00:00 GMT"
Reliance's partnership with Saudi Aramco not a retreat from energy business: Report - The Economic Times,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPSE9WaFVMMmVhVnBySWVJMWlFSzdBR1ZNWlQ4ZThhekZ6dmR2WFJwN1BrLWxoXzUxNEQ1dnFJb3BybXJXVHVQZHMxcEhEdjN5YUZLWWtyU2UzM29NNU9sZmViMzRxX3lid0Y5OTJDc3YzVktNbjVaVWxLOFZUNm5GZHZxZldSaW0zb0tqenM2bjZPbVNBeGF3aGZ3OHptbnlfRGlBU2JEUlVWMjRGajBzZkpzbE9nTkFNWi1ZY1FsejJpdWU4OGowU19pYmdFUmRkdXg5Z1ZQTExyV0toRmJ4UUY1UTdJZVNHSGJzYzdGb9IB9AFBVV95cUxOWFR4RnhKbFk0OFVMRk1xaEFpQU83cEVCc2ZlSzFqYXJlWFFzOGk3M3l1ak84dUY2Ulc0YmRYOFJoMHg2ZUMzWjFGaUVPMDJ5NThyRV9ubFJNTnd0ZDYxVnF5Ynp3NXlRX25wcm5JZHRqLVhXUVBXSGwxaHJPTTJmWmVFbGNHUWwtVXpkdXdiWUZmNGdkcExPNURkeFZEU19oeFZnRlpOX3RsdmE1aEVhYXhPLU5JNWdJQnAxVDkxejNVckZZUGt2clRYTUtKcTFOTjZxckhfQnp1WkhUT2dxeHJVYW5ybTZiVUktSW5jNDJDUU1B?oc=5,"Sun, 26 Jan 2020 08:00:00 GMT"
"Reliance Jio, UV Arc top bidders for RCom group assets - The Times of India",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPOElFeGRkVzB1OGptLVNTcjV0WmlheDBUM3Rlam0wMTVaZ1EzUWhZRk0yUEljSmNqaFdQV0prTV94WmJ1WnRKV3hpOFhBeW1rcWtBSEZCSlFzWjhfU0Fia0xFQnJXamp3dVVqMXVSODZHaVlaZGRkXzJZdF9SSmhqOW1CZnN4a0FGQmd1QXRrSHctSnVhMUUybzQwUzcyekRIRGVSVFpralE0NkdnMzJNTy1pTlBzQ3pBS3I5QjFsQWtCaVVlb1RyTy1vSldNMExIOUlqddIB2gFBVV95cUxPbzB5by1XTjBXeklsV19KMW5WLW4tSEVtX1gwci1TeDNwbU0wek9DQjhHX0tqUHFzRnhtS05mYnBFQWlaOVFoR3VWajc1WEhCUHJORTNEQUdpVnRNVHBWTGlhUzhQWVZHaHRTLU9vZFVIR0wwTTJGSGpoNGIxazFOcnI1TFZpMjk1cm5SeE9FWjZQSXNSbGwxMHZ6UEtDRWt5eTRNOF9KSVVycDZVbUx6LVh2TjkxN3N6bksyWDNRUXBOR2ZjSDhqUy1qdkQwbndxNHZncDJlbkU0UQ?oc=5,"Wed, 15 Jan 2020 08:00:00 GMT"
"Once listed, LIC will be officially bigger than Reliance, TCS - Business Today",https://news.google.com/rss/articles/CBMixwFBVV95cUxPYU4zWFMtT3BybWtiRTdKWHB6a003QVE2dXEtSkZlNF9SQzl3Y1cwTWxEeW5YMElfbDI3UU5CYmtnSFlpUV8telVSMlNLTy1fN3Iwa3pZYU5uSU1jVE96WHpER3lpNFFZUXduVHJUNkZSbEJEcU01d1p1eDVpbnJvMkFGeWxERnBVcmx0aGNUbnIyaUFMR3I3dnZBZlQ4ZTExc0NRemEwLUlyTVFwWHRpVl9BcHVGSWdFTElJV2QycENxRVFCbXlV?oc=5,"Sat, 01 Feb 2020 08:00:00 GMT"
"Reliance outpaces industry in petrol, diesel sales from its outlets - ETAuto",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNa0lmMUR3TVBTVWJWRGIxLXdDdmJUa2lqY2hrbmI3YXFnQ2xLMWtwVWxPektwYkc4VVlna1lQcktPRmUzcDhTRnVRbTdpOHpZUkVTVTVYSFl1TFg5TDc0QVNBa3NYU0hrYm1aZUplVnNpaWJ3c0xZRFdYOHVhUEZ1RldEOXhzLUVJR3FENUxqeF9OenpKdGRLaW5BR2Jra1NDd2RfdEZGNU4yMFdaQjNWQTUzS0N3UWFmd3pPS2o3TVJKT3ZoazVyZXFzdWNpNExidGfSAdcBQVVfeXFMTjU5S3JtdFVYdHRJWldkZnFSdWVFOUVIQzRDMTc4OXEyczdqOTc4NjNlY3VlVkdacWVTQjBrVG8zd0huV3hOdlQyQWJSMTRDR2F2ekttaWJjX3F4d244dkozU2NSWXA4MW9NRHNQdlV4YXhCd1BzLVlyajdEdVRDXzNLcVhSZFJrZ1loTmhja0hFQ2ZYSkhoQVJwVThaMnhUWFdaNFJRYTNZTXdUeE5Ic0JMUWZTSXdYbXZadk94MFlBUXloeVUtMkhvd1VHM3BLeW9JMGtKLUE?oc=5,"Sun, 19 Jan 2020 08:00:00 GMT"
Reliance refers to start-up playbook to grow Jio into internet behemoth - Business Standard,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQakxtMTNlQ0pwZGJkWGVxRkdROGZRRW5ybDlhM2x4aGwtVWNnY0FGb1RNbTIyWjFZUjdJcFZtSDdqdGRCWVNQVlQ1UE10WFNzSllQNlYxUTBpVVFEOW9MSjQzMFNWdUpkalNFNk1mRG5OYnZEaXlPN29vajB5cmxKTVVKdXFqTWFRNnprWTBnNGF6OTRxVWVEQTFqM0F6c2E2Zm1XNkJ5dW9Vd1Y0VElha2pIWkJNa2dsWWlUQk1TOXVwWnhGMURMbHRCNEEzTmdnZEFhQ2hwLUU2RjDSAeABQVVfeXFMTy1Wbk95ekRqNVlaZjhxTFdFaU94UE1JdnotdXBoUG5hc2ZOTmM2dHNKMjhtZzNlVGtLRERLTEJkMDhuSVBHVUZ3eC0wTEl3NURsX3cwT1JMd1c3V09GSWNmMERQYWN2YTNBcDRFZ3g3VGcyR0I5OHlpT0wtMGV4cUlfd3dRY0lMN3dRUV8yRUp1eC1ELXNNTm1ZMVZaZWxpWmtjQTR4Y3lYQTQ5OHIwUlNJcDlTZTB4d3puWHNZOTFkN0NGVVVCcFlhckJYdGV0aXgtSzFpYjFiZ3BhZ1k4dlM?oc=5,"Tue, 07 Jan 2020 08:00:00 GMT"
Adani in early talks to acquire Reliance Power's troubled unit - The Economic Times,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNa3lKajZFRWJ2NDJ4a2Q4c083ZXd4ZVhHMW8tRk9yNS1SVlp2ZU9hcGhPWFdudzhXUGpyd1dHV1Q4a3I3RFI2WFpaU1UtbmdoN1kycDJvWm4xZUxpYUxlQWlhNGEwLV9aWllTZ0w1MGhlNTZYYTZlNFRRMF82QVJiWFhUdURtNDlmQ2trSy1CcmUyelZSeVpHaUNXNDI2bVg5OFJLeGlaSWN6YjM2TXNuQ0dCYTlIOTc1VkVyaHZlUFZpbHpvNF84UGhWU09reDFrMlHSAdcBQVVfeXFMTUJZWGJzaGxvVEtYRlJIM0IzaGpWX21qQWhtNzVBMGJYTFVOZUNlbWtEMkVPLTFxejIxLUtPdmRQaFBfbDJOV2p5SVdPRV9FVnZqVDNrYVdPbUtFeXQ5YWtjbmRIcUxlc3A3SGREWnF0Z2FGOE5QUDdUZ0hZQm5hbTFMaDhnUE1mSVNPUjYtUmpTLUtUN0JwMFg2S3FzWENuNUtQR2VfLVRDcDd6bGtVakFNOXhmU2s1OE5CUHIwNjQ3QlJtN3hvTVNFckppRy1lNmdGR0U2VVU?oc=5,"Tue, 14 Jan 2020 08:00:00 GMT"
