Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2022-01-03,144.46780395507812,145.3241965954887,143.19391838209984,144.5310664493394,28646000
2022-01-04,143.8779296875,145.9558918037321,143.1973980446636,144.87082080849984,28400000
2022-01-05,137.27735900878906,143.9775730785169,137.19068285621367,143.89836193048714,54618000
2022-01-06,137.2499542236328,139.43453978877605,136.06525350814445,136.50366666273266,37348000
2022-01-07,136.52207946777344,137.94841203350327,135.2760928690498,137.646497498618,29760000
2022-01-10,138.1686248779297,138.3180922049629,132.68351909922848,134.59010553112222,44408000
2022-01-11,139.23126220703125,139.70953938055476,136.19876781842893,137.50851871383009,28730000
2022-01-12,140.91964721679688,142.0928995430795,140.18631320047015,140.64015807589763,26108000
2022-01-13,138.08644104003906,142.33404393011836,137.90907496044974,141.02876276853922,31436000
2022-01-14,138.97669982910156,140.2336484368428,136.50367009139453,136.5838694757939,29662000
2022-01-18,135.50677490234375,136.63617983713343,134.9493017820108,135.68313752257072,34872000
2022-01-19,134.6284637451172,137.4611972177534,134.5278306220574,136.0303793886013,28648000
2022-01-20,132.82598876953125,137.12890227773084,132.48422537373727,135.7578653318743,29908000
2022-01-21,129.88067626953125,134.37836419221756,129.61663404867633,132.11458262034927,55652000
2022-01-24,130.33154296875,130.72910386725636,124.05031186821009,125.52297023951006,76622000
2022-01-25,126.47650909423828,128.93161364102292,126.04358446552224,128.27499735076876,46960000
2022-01-26,128.76620483398438,132.51959651517802,126.68275423803644,130.64539407702827,49130000
2022-01-27,128.53903198242188,132.1733485054575,128.46678412590518,130.82972385906368,31950000
2022-01-28,132.8693389892578,132.87482751588715,128.02091747943552,129.19067302053085,34362000
2022-01-31,134.81478881835938,134.98368644603235,131.73197000766598,133.67741708115645,39986000
2022-02-01,137.14682006835938,137.29528394047477,133.8831538953015,137.09749935139652,68644000
2022-02-02,147.46542358398438,150.99910716965758,144.9968790105651,150.7036845748489,123200000
2022-02-03,142.57315063476562,149.1343720910172,142.1501844290377,145.179212364594,71518000
2022-02-04,142.77542114257812,144.3517076462727,140.00745547410332,142.92637842083565,57998000
2022-02-07,138.69822692871094,143.7289865409024,138.39830400886814,143.7289865409024,54974000
2022-02-08,138.8955078125,139.49433499718083,136.51912765033566,138.52435567518495,54284000
2022-02-09,141.08056640625,142.0097085643231,139.68064246811812,140.4543422583785,40144000
2022-02-10,138.11929321289062,140.9734484510155,137.45869359484468,139.19889087175883,39330000
2022-02-11,133.79747009277344,138.65385805105115,132.9181504029745,138.09938006005996,39958000
2022-02-14,135.03648376464844,135.80769015978873,132.77518042359773,132.77518042359773,34302000
2022-02-15,136.11508178710938,137.60966385803152,135.33092183968148,137.0735974798715,26680000
2022-02-16,137.24049377441406,137.587228762947,134.4366474247579,136.15292936440233,25022000
2022-02-17,132.06027221679688,136.61824261090376,131.99998964739044,135.7508881841527,38950000
2022-02-18,129.93199157714844,133.58575399879967,129.72624024100966,132.984919959572,45620000
2022-02-22,129.34461975097656,131.70305930479284,127.76035128771632,129.36902164807677,44990000
2022-02-23,127.12715148925781,131.5740286454837,127.06686891969255,131.17298611837336,32786000
2022-02-24,132.2117156982422,132.51960530986702,124.5021680331408,124.5021680331408,54456000
2022-02-25,133.97384643554688,134.78291003064567,131.2756197259843,133.06962303509766,36406000
2022-02-28,134.56918334960938,135.26116339490252,132.11357705186626,132.5694288271008,38864000
2022-03-01,133.5772705078125,135.7633461490918,132.73732826810823,134.39132088866333,26496000
2022-03-02,134.08543395996094,134.77393236956735,132.5908519204788,134.14173316744186,23520000
2022-03-03,133.41586303710938,135.94668191370513,132.5450117600383,135.51872888123256,24604000
2022-03-04,131.43003845214844,133.36802027083928,129.86670554907704,132.4473618386773,30430000
2022-03-07,125.92202758789062,131.25917883811977,125.83882547699304,131.01307695249176,45112000
2022-03-08,126.6454086303711,130.7759356016663,125.2205733707899,125.7939951977933,40428000
2022-03-09,132.93809509277344,133.25246149016016,129.43130653433462,130.7759347952661,37026000
2022-03-10,131.951171875,132.79062756683956,130.43965294916046,130.7918764796572,27102000
2022-03-11,129.4014129638672,133.31223910249224,129.16327780099954,133.00634115976752,31526000
2022-03-14,125.49606323242188,129.9379611837264,124.82251004302125,129.77953889503618,38812000
2022-03-15,128.7313232421875,129.3854612705248,125.26638337315536,126.51734918467436,30920000
2022-03-16,132.79908752441406,132.85138816184894,128.26950263805875,130.2607885936972,35576000
2022-03-17,133.35557556152344,133.59620411047092,131.7075429071821,132.66806542167348,28264000
2022-03-18,135.63381958007812,135.75189131600223,131.7807827668189,132.94257155134628,44566000
2022-03-21,135.6099090576172,136.55498470011952,133.6081627980148,135.67168158919625,26832000
