title,link,pub_date
AI and shopping: Every customer can be a VIP - Microsoft,https://news.google.com/rss/articles/CBMijgFBVV95cUxQaTdRMnJiMlhZaG9tRDBibnYybE5QN3hfY2phYmFmc3BWTjNQSjVwQl9GcG9XYlJwV1dkeWt6dlBzWXNoQ0dMWGFVZWh6OWxrZEk3YVQtVXRJTnI5ZFoyMEg5Yjd6YWhwbHJnVEdCdDRGbXR1M2hLZ2Y5MjhneU95c3FBZFByZnYxVWx3UTlB?oc=5,"Thu, 09 Jan 2020 08:00:00 GMT"
Using AI to advance the health of people and communities around the world - Microsoft,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQMzc2MVMwdThzazB3ZjZnc2QwWlNCVF95UXRNeVpvWm16b2dCSllOYmJsekgxbWR2WnRJUkZIRl8wQWdJTDhZQ1REdTR2azNuSlhsZzFBdERoWTRpTmYyajJUS3RRenhlU2J1NnpLSl9peHVWbTBQYkY4MTRoMlpNSjJvVlQxNnBIQVY4?oc=5,"Wed, 29 Jan 2020 08:00:00 GMT"
Microsoft to launch new cloud datacenter region in Israel - Microsoft,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQX25ZZVdaSl83TjJvaUVxR0tFa01vcWt2V0pxSE9LbGpCbkxkQVBtQUs0S1k4R3pjRnlmVmxCRU1sTThSRE9ZTTV6VjZaNDRnWXkxNVpXVzJhU21PQ3Z0RnhjWjVXM2d5R1BWRjRYNUpxMGtBZ1cxSzVVRzRFV0FPTHUyRHdCRjd1enVrdFlseVVLdDVlcHhYcmFSRDFFNTU1U0tuX0lNTnRiUQ?oc=5,"Wed, 22 Jan 2020 08:00:00 GMT"
2020 Ada Lovelace and PhD Fellows work toward a better world of tech - Microsoft,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOeXJRRjlXbEV5SWF2dDY3d3dfZENvQXk5dEt5QnIyTkVkNlhscnVIZHNSMnVmX3I2cmtPbHV3ZTRCS29kYV9JRUxYWFpySGhBS1lRWVppbnplN2pPQm1rOXE4UzgyMkE4VWNaaXlfb3lBVTZsR1ZRYjFaUDVnSVh3bU1PRE5JeEE3cWFXbW1fa2pfOVhha3hmR2JSUEJfQ2trMWtqRTMycWZydUtaYnU2b3JNb2pHLUdKd2RZRzFRb0ZEeUVNT0tBMWJPY3JOX3VYam9KY2ZzTEJBTWdIcUE?oc=5,"Thu, 23 Jan 2020 08:00:00 GMT"
Microsoft’s ‘Highway to a Hundred Unicorns’ selects 54 startups from Tier 2 cities - Microsoft,https://news.google.com/rss/articles/CBMisgFBVV95cUxOUGdzcTRFRVlsdjFrY2dIM08zSXFhcjhtSzF2OTg3THV1VHdobEs2VUV4R0ZxREd2dEJfS2pyY0M3YzhWNG9tTkJDMXdtc0J5eDlnMzlVRVpPNU5yMjZtTEpnR0wyMC1fMmpjZlh1Vm9mMEdvVTVMV0tNOHNmNFNua3FxX01iby14Y0RiZXJEeVpQdy1HUWgwMERodDZLbThGQldtYVFTcTVTdzJ1eXBNbndB?oc=5,"Mon, 13 Jan 2020 08:00:00 GMT"
How Walgreens is using HoloLens 2 to provide a fresh retail experience - Microsoft,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNNjk2MWdPNjFwSy0xUWZ6RHZIdG12VGl1N0N2RnlaeFBPelZqT2VSUVlHcHd3UnlVUUNMUW43RC1lN2Qyd244VnoxQ2JKb3N5dVVFM1Q0X0d3VW9ialhTREt6X2Jqd1J6VnFxTHZKVU1xVUp2OUZpWXdEclFOaWZhcVllU3h2RExuWkEzaDA2M21BSGQwTzI3aXZRODRsOVZqaWNreTRaZF80M1RCcHZSV3ZHdDVUN2dDdFJfVnlDbE9haHpoYzNDNW9SX205bDRwVFhV?oc=5,"Sun, 12 Jan 2020 08:00:00 GMT"
Innovating to drive the future of intelligent retail - Microsoft,https://news.google.com/rss/articles/CBMingFBVV95cUxNSlFWMWZaVk8yR3hKZjItVjNhczhocl9oc2ZkVUw4alZ3OFBWbmdhMllaX2E1RkZHX01pczVjNmFaMUpmSWFYOXZ0b0RBY012cjFzbWpoamZtd2hXRmVTMFFfZlJaVXJGa2FPN2lnZ1UtSzNfR251LUhlLXNUUjdzdG4xSkltZXgyZHZSME9mUzR1LXFaOHhfQk9YN3hFZw?oc=5,"Thu, 09 Jan 2020 08:00:00 GMT"
Fueling intelligent energy with IoT - Microsoft,https://news.google.com/rss/articles/CBMigAFBVV95cUxQVnBKT0pCZlVYQ1JiYVFoVlhOaXg3VHQzV01Ic05NRUhRd2FqeGxYVVh3RWVsdU1BYXBSTzVtN3FYV3NSejhVR2FKcHBYaDBjOVhSU2lURHVjd0lpMmFtQ0x0UXRqaTdrMTdqajVET2JRNklUMVZUQXR1ODNPbjdvRA?oc=5,"Mon, 27 Jan 2020 08:00:00 GMT"
Retail 2020: Your next grocery run or closet refresh may be powered by Microsoft and our customers embracing tech intensity - Microsoft,https://news.google.com/rss/articles/CBMimAJBVV95cUxPSVl2eGwyUmpGUFNoYk5FMUdSUF8xN3E1Z1h2NkNmSzdoSENRNFp0NDRYQjd2blFVVnBrV3c2NFFDNmNiVUEwUElDSTZRbFRiTENobkh6b3FBbGhCNlFzOFhkQ21UOU4tRm56Qi1IWjZEM3hqRXV6REJTb2pWbzVnbkdQVkVJaXpET1VNZTU2S28yVk15OUhvVkZEdkRPMUl5cEhoTkVzYWxudDEwYlFQR0NEZ2VSS2FXWTQ0ZDhWenJ1TnNNQjlzbzJDYnhQb09RMEJ6X3hKU3l3d0xfQWV0aHNFVm0xWE91NGpSYjRyd0dmakc1VkF1ZmdYRnA3Q2FpLWpjcnlpNEVpNENVWDAwakY2VUsycG43?oc=5,"Thu, 09 Jan 2020 08:00:00 GMT"
Expediting Japan’s Civil Court Proceedings with adoption of Microsoft Teams - Microsoft,https://news.google.com/rss/articles/CBMiugFBVV95cUxNQVp6YXQ5YnpJalc0U1VnOHVneVpvR2FFZDBuQmQ0QTFKcWlSX0FGeTVHVDJmRS1oalhlLVhibGhnVXMxWE1xZjZ2bFFDZ2NrWTJxd0M5cUt1aGI3aVdnc29Yeldyemx2LVJFMVRNYXhZYkdFQTg4QVhHdlpBaVhHeGI0YVh6Q2FFUUFwOUF2WTRXZkxiaWJpbF9oRVdITklJOGIzQ2Q5bmVwVlE3VzdRM3l1UERwOHdidGc?oc=5,"Wed, 29 Jan 2020 08:00:00 GMT"
